sequence_id,game_id,period,play_clock,home_description,away_description,score,player1_id,player1_name,player1_team,player2_id,player2_name,player2_team,player3_id,player3_name,player3_team,event_type,event_description
19349,21500153,4,12:00,nan,nan,75 - 79,0,nan,nan,0,nan,nan,0,nan,nan,Start Period ,nan
19350,21500153,4,11:51,nan,Robinson III P.FOUL (P3.T1) (J.Goble),nan,203922,Glenn Robinson III,IND,203926,Doug McDermott,CHI,0,nan,nan,Foul ,Personal
19351,21500153,4,11:47,McDermott 2' Layup (11 PTS) (Noah 3 AST),nan,75 - 81,203926,Doug McDermott,CHI,201149,Joakim Noah,CHI,0,nan,nan,Made Shot ,nan
19352,21500153,4,11:29,nan,MISS Young 24' 3PT Jump Shot,nan,1626202,Joe Young,IND,0,nan,nan,0,nan,nan,Missed Shot ,nan
19353,21500153,4,11:28,Moore REBOUND (Off:0 Def:2),nan,nan,202734,E'Twaun Moore,CHI,0,nan,nan,0,nan,nan,Rebound ,Unknown
19354,21500153,4,11:20,MISS Rose 19' Jump Shot,nan,nan,201565,Derrick Rose,CHI,0,nan,nan,0,nan,nan,Missed Shot ,nan
19355,21500153,4,11:18,nan,Robinson III REBOUND (Off:0 Def:1),nan,203922,Glenn Robinson III,IND,0,nan,nan,0,nan,nan,Rebound ,Unknown
19356,21500153,4,11:13,McDermott BLOCK (1 BLK),MISS Robinson III 12' Jump Shot,nan,203922,Glenn Robinson III,IND,0,nan,nan,203926,Doug McDermott,CHI,Missed Shot ,nan
19357,21500153,4,11:11,nan,Hill REBOUND (Off:3 Def:7),nan,201941,Jordan Hill,IND,0,nan,nan,0,nan,nan,Rebound ,Unknown
19358,21500153,4,10:56,nan,S. Hill 11' Jump Bank Shot (4 PTS),77 - 81,203524,Solomon Hill,IND,0,nan,nan,0,nan,nan,Made Shot ,nan
19359,21500153,4,10:40,Rose 3' Driving Reverse Layup (19 PTS) (Noah 4 AST),nan,77 - 83,201565,Derrick Rose,CHI,201149,Joakim Noah,CHI,0,nan,nan,Made Shot ,nan
19360,21500153,4,10:26,nan,MISS Allen 9' Turnaround Hook Shot,nan,202730,Lavoy Allen,IND,0,nan,nan,0,nan,nan,Missed Shot ,nan
19361,21500153,4,10:24,nan,Hill REBOUND (Off:4 Def:7),nan,201941,Jordan Hill,IND,0,nan,nan,0,nan,nan,Rebound ,Unknown
19362,21500153,4,10:23,Rose STEAL (2 STL),Hill Lost Ball Turnover (P1.T11),nan,201941,Jordan Hill,IND,201565,Derrick Rose,CHI,0,nan,nan,Turnover ,Lost Ball
19363,21500153,4,10:17,Noah 1' Layup (8 PTS) (Rose 6 AST),nan,77 - 85,201149,Joakim Noah,CHI,201565,Derrick Rose,CHI,0,nan,nan,Made Shot ,nan
19364,21500153,4,10:17,nan,Pacers Timeout: Regular (Reg.4 Short 1),nan,1610612754,nan,nan,0,nan,nan,0,nan,nan,Timeout ,Regular
19365,21500153,4,10:17,nan,SUB: Ellis FOR Young,nan,1626202,Joe Young,IND,101145,Monta Ellis,IND,0,nan,nan,Substitution ,nan
19366,21500153,4,10:17,nan,SUB: Miles FOR Robinson III,nan,203922,Glenn Robinson III,IND,101139,CJ Miles,IND,0,nan,nan,Substitution ,nan
19367,21500153,4,10:17,nan,SUB: George FOR S. Hill,nan,203524,Solomon Hill,IND,202331,Paul George,IND,0,nan,nan,Substitution ,nan
19368,21500153,4,10:17,SUB: Butler FOR McDermott,nan,nan,203926,Doug McDermott,CHI,202710,Jimmy Butler,CHI,0,nan,nan,Substitution ,nan
19369,21500153,4,9:58,nan,George 25' 3PT Jump Shot (21 PTS) (Hill 3 AST),80 - 85,202331,Paul George,IND,201941,Jordan Hill,IND,0,nan,nan,Made Shot ,nan
19370,21500153,4,9:32,MISS Moore 25' 3PT Jump Shot,nan,nan,202734,E'Twaun Moore,CHI,0,nan,nan,0,nan,nan,Missed Shot ,nan
19371,21500153,4,9:31,Rose REBOUND (Off:1 Def:1),nan,nan,201565,Derrick Rose,CHI,0,nan,nan,0,nan,nan,Rebound ,Unknown
19372,21500153,4,9:16,MISS Butler 14' Jump Shot,nan,nan,202710,Jimmy Butler,CHI,0,nan,nan,0,nan,nan,Missed Shot ,nan
19373,21500153,4,9:15,Gibson REBOUND (Off:4 Def:6),nan,nan,201959,Taj Gibson,CHI,0,nan,nan,0,nan,nan,Rebound ,Unknown
19374,21500153,4,8:59,Rose 25' 3PT Jump Shot (22 PTS) (Moore 1 AST),nan,80 - 88,201565,Derrick Rose,CHI,202734,E'Twaun Moore,CHI,0,nan,nan,Made Shot ,nan
19375,21500153,4,8:41,Rose P.FOUL (P3.T1) (J.Goble),nan,nan,201565,Derrick Rose,CHI,201941,Jordan Hill,IND,0,nan,nan,Foul ,Personal
19376,21500153,4,8:38,nan,Allen  Dunk (6 PTS) (George 5 AST),82 - 88,202730,Lavoy Allen,IND,202331,Paul George,IND,0,nan,nan,Made Shot ,nan
19377,21500153,4,8:21,MISS Noah 3' Driving Layup,nan,nan,201149,Joakim Noah,CHI,0,nan,nan,0,nan,nan,Missed Shot ,nan
19378,21500153,4,8:20,nan,Allen REBOUND (Off:1 Def:2),nan,202730,Lavoy Allen,IND,0,nan,nan,0,nan,nan,Rebound ,Unknown
19379,21500153,4,8:12,nan,MISS Hill 7' Hook Shot,nan,201941,Jordan Hill,IND,0,nan,nan,0,nan,nan,Missed Shot ,nan
