sequence_id,game_id,period,play_clock,home_description,away_description,score,player1_id,player1_name,player1_team,player2_id,player2_name,player2_team,player3_id,player3_name,player3_team,event_type,event_description
7797,21500061,4,12:00,nan,nan,73 - 66,0,nan,nan,0,nan,nan,0,nan,nan,Start Period ,nan
7798,21500061,4,11:47,Nene 2' Driving Finger Roll Layup (6 PTS),nan,73 - 68,2403,Nene,WAS,0,nan,nan,0,nan,nan,Made Shot ,nan
7799,21500061,4,11:23,nan,Green  3PT Jump Shot (12 PTS) (Butler 1 AST),76 - 68,201980,Danny Green,SAS,2446,Rasual Butler,SAS,0,nan,nan,Made Shot ,nan
7800,21500061,4,11:01,Dudley 19' Jump Shot (2 PTS),nan,76 - 70,201162,Jared Dudley,WAS,0,nan,nan,0,nan,nan,Made Shot ,nan
7801,21500061,4,10:42,nan,West 2' Cutting Layup Shot (2 PTS) (Ginobili 2 AST),78 - 70,2561,David West,SAS,1938,Manu Ginobili,SAS,0,nan,nan,Made Shot ,nan
7802,21500061,4,10:26,MISS Wall 1' Layup,nan,nan,202322,John Wall,WAS,0,nan,nan,0,nan,nan,Missed Shot ,nan
7803,21500061,4,10:25,nan,Green REBOUND (Off:0 Def:3),nan,201980,Danny Green,SAS,0,nan,nan,0,nan,nan,Rebound ,Unknown
7804,21500061,4,10:23,Sessions STEAL (2 STL),Green Bad Pass Turnover (P1.T12),nan,201980,Danny Green,SAS,201196,Ramon Sessions,WAS,0,nan,nan,Turnover ,Bad Pass
7805,21500061,4,10:18,Dudley Lost Ball Turnover (P1.T10),Butler STEAL (1 STL),nan,201162,Jared Dudley,WAS,2446,Rasual Butler,SAS,0,nan,nan,Turnover ,Lost Ball
7806,21500061,4,10:15,Wall STEAL (2 STL),Green Bad Pass Turnover (P2.T13),nan,201980,Danny Green,SAS,202322,John Wall,WAS,0,nan,nan,Turnover ,Bad Pass
7807,21500061,4,10:07,Neal 8' Floating Jump Shot (9 PTS) (Sessions 3 AST),nan,78 - 72,202390,Gary Neal,WAS,201196,Ramon Sessions,WAS,0,nan,nan,Made Shot ,nan
7808,21500061,4,9:46,nan,Butler 18' Step Back Jump Shot (4 PTS) (Green 1 AST),80 - 72,2446,Rasual Butler,SAS,201980,Danny Green,SAS,0,nan,nan,Made Shot ,nan
7809,21500061,4,9:32,Wall 1' Layup (6 PTS) (Nene 2 AST),nan,80 - 74,202322,John Wall,WAS,2403,Nene,WAS,0,nan,nan,Made Shot ,nan
7810,21500061,4,9:26,nan,Spurs Timeout: Regular (Reg.4 Short 0),nan,1610612759,nan,nan,0,nan,nan,0,nan,nan,Timeout ,Regular
7811,21500061,4,9:21,Neal P.FOUL (P1.T1) (M.Callahan),nan,nan,202390,Gary Neal,WAS,1938,Manu Ginobili,SAS,0,nan,nan,Foul ,Personal
7812,21500061,4,9:17,nan,MISS Mills 25' 3PT Jump Shot,nan,201988,Patty Mills,SAS,0,nan,nan,0,nan,nan,Missed Shot ,nan
