sequence_id,game_id,period,play_clock,home_description,away_description,score,player1_id,player1_name,player1_team,player2_id,player2_name,player2_team,player3_id,player3_name,player3_team,event_type,event_description
267560,21600926,4,12:00,nan,nan,82 - 90,0,nan,nan,0,nan,nan,0,nan,nan,Start Period ,nan
267561,21600926,4,11:42,Aminu P.FOUL (P1.T1) (L.Richardson),nan,nan,202329,Al-Farouq Aminu,POR,203112,Quincy Acy,BKN,0,nan,nan,Foul ,Personal
267562,21600926,4,11:36,McCollum BLOCK (1 BLK),MISS Kilpatrick 15' Jump Shot,nan,203930,Sean Kilpatrick,BKN,0,nan,nan,203468,CJ McCollum,POR,Missed Shot ,nan
267563,21600926,4,11:32,Aminu REBOUND (Off:1 Def:4),nan,nan,202329,Al-Farouq Aminu,POR,0,nan,nan,0,nan,nan,Rebound ,Unknown
267564,21600926,4,11:30,Aminu 1' Running Finger Roll Layup (15 PTS),nan,82 - 92,202329,Al-Farouq Aminu,POR,0,nan,nan,0,nan,nan,Made Shot ,nan
267565,21600926,4,11:13,nan,Dinwiddie 20' Pullup Jump Shot (11 PTS),84 - 92,203915,Spencer Dinwiddie,BKN,0,nan,nan,0,nan,nan,Made Shot ,nan
267566,21600926,4,10:47,Napier  3PT Jump Shot (3 PTS) (McCollum 4 AST),nan,84 - 95,203894,Shabazz Napier,POR,203468,CJ McCollum,POR,0,nan,nan,Made Shot ,nan
267567,21600926,4,10:35,nan,Dinwiddie 16' Jump Shot (13 PTS),86 - 95,203915,Spencer Dinwiddie,BKN,0,nan,nan,0,nan,nan,Made Shot ,nan
267568,21600926,4,10:35,Napier S.FOUL (P2.T2) (L.Richardson),nan,nan,203894,Shabazz Napier,POR,203915,Spencer Dinwiddie,BKN,0,nan,nan,Foul ,Shooting
267569,21600926,4,10:35,nan,Dinwiddie Free Throw 1 of 1 (14 PTS),87 - 95,203915,Spencer Dinwiddie,BKN,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 1
267570,21600926,4,10:16,nan,Acy S.FOUL (P3.T1) (K.Cutler),nan,203112,Quincy Acy,BKN,203459,Allen Crabbe,POR,0,nan,nan,Foul ,Shooting
267571,21600926,4,10:16,Crabbe Free Throw 1 of 2 (7 PTS),nan,87 - 96,203459,Allen Crabbe,POR,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
267572,21600926,4,10:16,Crabbe Free Throw 2 of 2 (8 PTS),nan,87 - 97,203459,Allen Crabbe,POR,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
267573,21600926,4,10:05,nan,MISS Kilpatrick 2' Driving Layup,nan,203930,Sean Kilpatrick,BKN,0,nan,nan,0,nan,nan,Missed Shot ,nan
