sequence_id,game_id,period,play_clock,home_description,away_description,score,player1_id,player1_name,player1_team,player2_id,player2_name,player2_team,player3_id,player3_name,player3_team,event_type,event_description
174670,21600173,4,12:00,nan,nan,66 - 58,0,nan,nan,0,nan,nan,0,nan,nan,Start Period ,nan
174671,21600173,4,11:42,nan,Wade 1' Layup (12 PTS) (Portis 1 AST),68 - 58,2548,Dwyane Wade,CHI,1626171,Bobby Portis,CHI,0,nan,nan,Made Shot ,nan
174672,21600173,4,11:21,MISS Hood  3PT Jump Shot,nan,nan,203918,Rodney Hood,UTA,0,nan,nan,0,nan,nan,Missed Shot ,nan
174673,21600173,4,11:20,nan,Mirotic REBOUND (Off:0 Def:2),nan,202703,Nikola Mirotic,CHI,0,nan,nan,0,nan,nan,Rebound ,Unknown
174674,21600173,4,11:06,nan,Mirotic  Driving Dunk (7 PTS),70 - 58,202703,Nikola Mirotic,CHI,0,nan,nan,0,nan,nan,Made Shot ,nan
174675,21600173,4,10:50,Withey Bad Pass Turnover (P1.T13),Mirotic STEAL (2 STL),nan,203481,Jeff Withey,UTA,202703,Nikola Mirotic,CHI,0,nan,nan,Turnover ,Bad Pass
174676,21600173,4,10:38,nan,Valentine 26' 3PT Jump Shot (3 PTS) (Mirotic 1 AST),73 - 58,1627756,Denzel Valentine,CHI,202703,Nikola Mirotic,CHI,0,nan,nan,Made Shot ,nan
174677,21600173,4,10:37,JAZZ Timeout: Regular (Full 4 Short 0),nan,nan,1610612762,nan,nan,0,nan,nan,0,nan,nan,Timeout ,Regular
174678,21600173,4,10:37,SUB: Diaw FOR Withey,nan,nan,203481,Jeff Withey,UTA,2564,Boris Diaw,UTA,0,nan,nan,Substitution ,nan
174679,21600173,4,10:37,SUB: Exum FOR Mack,nan,nan,202714,Shelvin Mack,UTA,203957,Dante Exum,UTA,0,nan,nan,Substitution ,nan
174680,21600173,4,10:20,MISS Ingles  3PT Jump Shot,nan,nan,204060,Joe Ingles,UTA,0,nan,nan,0,nan,nan,Missed Shot ,nan
174681,21600173,4,10:18,nan,Mirotic REBOUND (Off:0 Def:3),nan,202703,Nikola Mirotic,CHI,0,nan,nan,0,nan,nan,Rebound ,Unknown
174682,21600173,4,10:07,nan,MISS Wade 17' Jump Shot,nan,2548,Dwyane Wade,CHI,0,nan,nan,0,nan,nan,Missed Shot ,nan
174683,21600173,4,10:07,nan,Bulls Rebound,nan,1610612741,nan,nan,0,nan,nan,0,nan,nan,Rebound ,Unknown
174684,21600173,4,10:07,Hood L.B.FOUL (P2.T1) (M.McCutchen),nan,nan,203918,Rodney Hood,UTA,202703,Nikola Mirotic,CHI,0,nan,nan,Foul ,Loose Ball
174685,21600173,4,10:02,Diaw S.FOUL (P2.T2) (K.Cutler),nan,nan,2564,Boris Diaw,UTA,2548,Dwyane Wade,CHI,0,nan,nan,Foul ,Shooting
174686,21600173,4,10:02,nan,Wade Free Throw 1 of 2 (13 PTS),74 - 58,2548,Dwyane Wade,CHI,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
174687,21600173,4,10:02,nan,Wade Free Throw 2 of 2 (14 PTS),75 - 58,2548,Dwyane Wade,CHI,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
174688,21600173,4,9:50,nan,Wade P.FOUL (P1.T1) (M.McCutchen),nan,2548,Dwyane Wade,CHI,2564,Boris Diaw,UTA,0,nan,nan,Foul ,Personal
174689,21600173,4,9:39,nan,Wade S.FOUL (P2.T2) (R.Mott),nan,2548,Dwyane Wade,CHI,2207,Joe Johnson,UTA,0,nan,nan,Foul ,Shooting
174690,21600173,4,9:39,Johnson Free Throw 1 of 2 (6 PTS),nan,75 - 59,2207,Joe Johnson,UTA,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
174691,21600173,4,9:39,Johnson Free Throw 2 of 2 (7 PTS),nan,75 - 60,2207,Joe Johnson,UTA,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
174692,21600173,4,9:17,nan,Canaan 2' Reverse Layup (8 PTS),77 - 60,203477,Isaiah Canaan,CHI,0,nan,nan,0,nan,nan,Made Shot ,nan
174693,21600173,4,8:57,nan,Canaan P.FOUL (P1.T3) (K.Cutler),nan,203477,Isaiah Canaan,CHI,2207,Joe Johnson,UTA,0,nan,nan,Foul ,Personal
174694,21600173,4,8:57,SUB: Gobert FOR Diaw,nan,nan,2564,Boris Diaw,UTA,203497,Rudy Gobert,UTA,0,nan,nan,Substitution ,nan
174695,21600173,4,8:57,SUB: Hayward FOR Ingles,nan,nan,204060,Joe Ingles,UTA,202330,Gordon Hayward,UTA,0,nan,nan,Substitution ,nan
174696,21600173,4,8:57,nan,SUB: Lopez FOR Portis,nan,1626171,Bobby Portis,CHI,201577,Robin Lopez,CHI,0,nan,nan,Substitution ,nan
