sequence_id,game_id,period,play_clock,home_description,away_description,score,player1_id,player1_name,player1_team,player2_id,player2_name,player2_team,player3_id,player3_name,player3_team,event_type,event_description
96503,21500773,4,12:00,nan,nan,87 - 95,0,nan,nan,0,nan,nan,0,nan,nan,Start Period ,nan
96504,21500773,4,11:53,Jerebko P.FOUL (P1.T1) (M.Ervin),nan,nan,201973,Jonas Jerebko,BOS,201956,Omri Casspi,SAC,0,nan,nan,Foul ,Personal
96505,21500773,4,11:37,Zeller BLOCK (1 BLK),MISS Casspi 3' Layup,nan,201956,Omri Casspi,SAC,0,nan,nan,203092,Tyler Zeller,BOS,Missed Shot ,nan
96506,21500773,4,11:36,Zeller REBOUND (Off:0 Def:5),nan,nan,203092,Tyler Zeller,BOS,0,nan,nan,0,nan,nan,Rebound ,Unknown
96507,21500773,4,11:35,Zeller Bad Pass Turnover (P3.T19),Koufos STEAL (2 STL),nan,203092,Tyler Zeller,BOS,201585,Kosta Koufos,SAC,0,nan,nan,Turnover ,Bad Pass
96508,21500773,4,11:31,nan,MISS Collison 26' 3PT Jump Shot,nan,201954,Darren Collison,SAC,0,nan,nan,0,nan,nan,Missed Shot ,nan
96509,21500773,4,11:30,Jerebko REBOUND (Off:1 Def:2),nan,nan,201973,Jonas Jerebko,BOS,0,nan,nan,0,nan,nan,Rebound ,Unknown
96510,21500773,4,11:15,Smart 3' Driving Hook Shot (8 PTS),nan,87 - 97,203935,Marcus Smart,BOS,0,nan,nan,0,nan,nan,Made Shot ,nan
96511,21500773,4,11:12,nan,Casspi Out of Bounds - Bad Pass Turnover Turnover (P1.T13),nan,201956,Omri Casspi,SAC,0,nan,nan,0,nan,nan,Turnover ,Out-of-Bounds Bad Pass Turnover
96512,21500773,4,11:03,MISS Turner 17' Pullup Jump Shot,nan,nan,202323,Evan Turner,BOS,0,nan,nan,0,nan,nan,Missed Shot ,nan
96513,21500773,4,11:02,nan,Casspi REBOUND (Off:0 Def:2),nan,201956,Omri Casspi,SAC,0,nan,nan,0,nan,nan,Rebound ,Unknown
96514,21500773,4,10:45,nan,Belinelli 20' Jump Shot (14 PTS),89 - 97,201158,Marco Belinelli,SAC,0,nan,nan,0,nan,nan,Made Shot ,nan
96515,21500773,4,10:36,Turner Bad Pass Turnover (P3.T20),Cauley-Stein STEAL (1 STL),nan,202323,Evan Turner,BOS,1626161,Willie Cauley-Stein,SAC,0,nan,nan,Turnover ,Bad Pass
96516,21500773,4,10:31,nan,MISS Casspi 2' Running Layup,nan,201956,Omri Casspi,SAC,0,nan,nan,0,nan,nan,Missed Shot ,nan
96517,21500773,4,10:30,Smart REBOUND (Off:0 Def:3),nan,nan,203935,Marcus Smart,BOS,0,nan,nan,0,nan,nan,Rebound ,Unknown
96518,21500773,4,10:22,nan,Belinelli P.FOUL (P2.T1) (K.Fitzgerald),nan,201158,Marco Belinelli,SAC,203482,Kelly Olynyk,BOS,0,nan,nan,Foul ,Personal
96519,21500773,4,10:12,MISS Smart 18' Jump Shot,nan,nan,203935,Marcus Smart,BOS,0,nan,nan,0,nan,nan,Missed Shot ,nan
96520,21500773,4,10:11,nan,Casspi REBOUND (Off:0 Def:3),nan,201956,Omri Casspi,SAC,0,nan,nan,0,nan,nan,Rebound ,Unknown
96521,21500773,4,9:59,Smart P.FOUL (P3.T2) (M.Ervin),nan,nan,203935,Marcus Smart,BOS,201954,Darren Collison,SAC,0,nan,nan,Foul ,Personal
96522,21500773,4,9:59,SUB: Bradley FOR Olynyk,nan,nan,203482,Kelly Olynyk,BOS,202340,Avery Bradley,BOS,0,nan,nan,Substitution ,nan
96523,21500773,4,9:46,nan,Collison 8' Driving Floating Jump Shot (13 PTS),91 - 97,201954,Darren Collison,SAC,0,nan,nan,0,nan,nan,Made Shot ,nan
96524,21500773,4,9:29,Turner Bad Pass Turnover (P4.T21),Koufos STEAL (3 STL),nan,202323,Evan Turner,BOS,201585,Kosta Koufos,SAC,0,nan,nan,Turnover ,Bad Pass
96525,21500773,4,9:10,nan,MISS Belinelli 25' 3PT Jump Shot,nan,201158,Marco Belinelli,SAC,0,nan,nan,0,nan,nan,Missed Shot ,nan
96526,21500773,4,9:09,Zeller REBOUND (Off:0 Def:6),nan,nan,203092,Tyler Zeller,BOS,0,nan,nan,0,nan,nan,Rebound ,Unknown
96527,21500773,4,8:58,MISS Zeller 3' Hook Shot,nan,nan,203092,Tyler Zeller,BOS,0,nan,nan,0,nan,nan,Missed Shot ,nan
96528,21500773,4,8:57,nan,Casspi REBOUND (Off:0 Def:4),nan,201956,Omri Casspi,SAC,0,nan,nan,0,nan,nan,Rebound ,Unknown
96529,21500773,4,8:50,Zeller BLOCK (2 BLK),MISS Collison 1' Layup,nan,201954,Darren Collison,SAC,0,nan,nan,203092,Tyler Zeller,BOS,Missed Shot ,nan
96530,21500773,4,8:50,Turner REBOUND (Off:0 Def:3),nan,nan,202323,Evan Turner,BOS,0,nan,nan,0,nan,nan,Rebound ,Unknown
96531,21500773,4,8:50,nan,Koufos P.FOUL (P1.T2) (T.Brothers),nan,201585,Kosta Koufos,SAC,202323,Evan Turner,BOS,0,nan,nan,Foul ,Personal
96532,21500773,4,8:50,nan,nan,nan,0,nan,nan,0,nan,nan,0,nan,nan,Timeout ,Official
96533,21500773,4,8:50,nan,SUB: Cousins FOR Koufos,nan,201585,Kosta Koufos,SAC,202326,DeMarcus Cousins,SAC,0,nan,nan,Substitution ,nan
96534,21500773,4,8:50,SUB: Crowder FOR Jerebko,nan,nan,201973,Jonas Jerebko,BOS,203109,Jae Crowder,BOS,0,nan,nan,Substitution ,nan
96535,21500773,4,8:28,Bradley 24' 3PT Jump Shot (20 PTS) (Turner 8 AST),nan,91 - 100,202340,Avery Bradley,BOS,202323,Evan Turner,BOS,0,nan,nan,Made Shot ,nan
96536,21500773,4,8:08,nan,Casspi 2' Driving Finger Roll Layup (10 PTS),93 - 100,201956,Omri Casspi,SAC,0,nan,nan,0,nan,nan,Made Shot ,nan
96537,21500773,4,7:51,nan,Cousins S.FOUL (P3.T3) (T.Brothers),nan,202326,DeMarcus Cousins,SAC,203092,Tyler Zeller,BOS,0,nan,nan,Foul ,Shooting
96538,21500773,4,7:51,Zeller Free Throw 1 of 2 (11 PTS),nan,93 - 101,203092,Tyler Zeller,BOS,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
96539,21500773,4,7:51,nan,SUB: Rondo FOR Collison,nan,201954,Darren Collison,SAC,200765,Rajon Rondo,SAC,0,nan,nan,Substitution ,nan
96540,21500773,4,7:51,Zeller Free Throw 2 of 2 (12 PTS),nan,93 - 102,203092,Tyler Zeller,BOS,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
96541,21500773,4,7:40,Turner P.FOUL (P2.T3) (K.Fitzgerald),nan,nan,202323,Evan Turner,BOS,202326,DeMarcus Cousins,SAC,0,nan,nan,Foul ,Personal
96542,21500773,4,7:34,nan,MISS Belinelli 16' Jump Shot,nan,201158,Marco Belinelli,SAC,0,nan,nan,0,nan,nan,Missed Shot ,nan
96543,21500773,4,7:33,nan,Cauley-Stein REBOUND (Off:3 Def:0),nan,1626161,Willie Cauley-Stein,SAC,0,nan,nan,0,nan,nan,Rebound ,Unknown
