sequence_id,game_id,period,play_clock,home_description,away_description,score,player1_id,player1_name,player1_team,player2_id,player2_name,player2_team,player3_id,player3_name,player3_team,event_type,event_description
199269,21600370,4,12:00,nan,nan,78 - 75,0,nan,nan,0,nan,nan,0,nan,nan,Start Period ,nan
199270,21600370,4,11:51,Wade Out of Bounds Lost Ball Turnover (P1.T9),nan,nan,2548,Dwyane Wade,CHI,0,nan,nan,0,nan,nan,Turnover ,Out of Bounds Lost Ball Turnover
199271,21600370,4,11:32,nan,MISS Towns 14' Jump Shot,nan,1626157,Karl-Anthony Towns,MIN,0,nan,nan,0,nan,nan,Missed Shot ,nan
199272,21600370,4,11:32,nan,Timberwolves Rebound,nan,1610612750,nan,nan,0,nan,nan,0,nan,nan,Rebound ,Unknown
199273,21600370,4,11:32,McDermott L.B.FOUL (P1.T1) (B.Taylor),nan,nan,203926,Doug McDermott,CHI,202332,Cole Aldrich,MIN,0,nan,nan,Foul ,Loose Ball
199274,21600370,4,11:32,nan,SUB: Bjelica FOR Towns,nan,1626157,Karl-Anthony Towns,MIN,202357,Nemanja Bjelica,MIN,0,nan,nan,Substitution ,nan
199275,21600370,4,11:16,nan,LaVine 8' Jump Shot (20 PTS),80 - 75,203897,Zach LaVine,MIN,0,nan,nan,0,nan,nan,Made Shot ,nan
199276,21600370,4,10:54,Canaan 14' Jump Shot (6 PTS),nan,80 - 77,203477,Isaiah Canaan,CHI,0,nan,nan,0,nan,nan,Made Shot ,nan
199277,21600370,4,10:38,nan,LaVine Discontinue Dribble Turnover (P2.T11),nan,203897,Zach LaVine,MIN,0,nan,nan,0,nan,nan,Turnover ,Discontinue Dribble
199278,21600370,4,10:27,Wade Out of Bounds - Bad Pass Turnover Turnover (P2.T10),nan,nan,2548,Dwyane Wade,CHI,0,nan,nan,0,nan,nan,Turnover ,Out-of-Bounds Bad Pass Turnover
199279,21600370,4,10:11,nan,Dunn 2' Driving Layup (2 PTS) (LaVine 6 AST),82 - 77,1627739,Kris Dunn,MIN,203897,Zach LaVine,MIN,0,nan,nan,Made Shot ,nan
199280,21600370,4,9:53,nan,Bjelica S.FOUL (P1.T1) (B.Taylor),nan,202357,Nemanja Bjelica,MIN,202703,Nikola Mirotic,CHI,0,nan,nan,Foul ,Shooting
199281,21600370,4,9:53,Mirotic Free Throw 1 of 2 (4 PTS),nan,82 - 78,202703,Nikola Mirotic,CHI,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
199282,21600370,4,9:53,SUB: Butler FOR Canaan,nan,nan,203477,Isaiah Canaan,CHI,202710,Jimmy Butler,CHI,0,nan,nan,Substitution ,nan
199283,21600370,4,9:53,Mirotic Free Throw 2 of 2 (5 PTS),nan,82 - 79,202703,Nikola Mirotic,CHI,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
