sequence_id,game_id,period,play_clock,home_description,away_description,score,player1_id,player1_name,player1_team,player2_id,player2_name,player2_team,player3_id,player3_name,player3_team,event_type,event_description
88956,21500712,4,12:00,nan,nan,77 - 92,0,nan,nan,0,nan,nan,0,nan,nan,Start Period ,nan
88957,21500712,4,11:40,nan,Casspi S.FOUL (P2.T1) (K.Scott),nan,201956,Omri Casspi,SAC,200797,Ryan Hollins,MEM,0,nan,nan,Foul ,Shooting
88958,21500712,4,11:40,Hollins Free Throw 1 of 2 (2 PTS),nan,77 - 93,200797,Ryan Hollins,MEM,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
88959,21500712,4,11:40,Hollins Free Throw 2 of 2 (3 PTS),nan,77 - 94,200797,Ryan Hollins,MEM,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
88960,21500712,4,11:17,nan,Gay 13' Floating Jump Shot (10 PTS) (Koufos 1 AST),79 - 94,200752,Rudy Gay,SAC,201585,Kosta Koufos,SAC,0,nan,nan,Made Shot ,nan
88961,21500712,4,10:55,Green  3PT Jump Shot (29 PTS) (Chalmers 5 AST),nan,79 - 97,201145,Jeff Green,MEM,201596,Mario Chalmers,MEM,0,nan,nan,Made Shot ,nan
88962,21500712,4,10:43,nan,Collison 15' Pullup Jump Shot (8 PTS),81 - 97,201954,Darren Collison,SAC,0,nan,nan,0,nan,nan,Made Shot ,nan
88963,21500712,4,10:28,Chalmers 5' Pullup Jump Shot (6 PTS),nan,81 - 99,201596,Mario Chalmers,MEM,0,nan,nan,0,nan,nan,Made Shot ,nan
88964,21500712,4,10:15,Hollins Violation:Defensive Goaltending (D.Crawford),nan,nan,200797,Ryan Hollins,MEM,0,nan,nan,0,nan,nan,Violation ,Defensive Goaltending
88965,21500712,4,10:15,nan,Casspi 1' Driving Floating Jump Shot (11 PTS),83 - 99,201956,Omri Casspi,SAC,0,nan,nan,0,nan,nan,Made Shot ,nan
88966,21500712,4,10:15,Green S.FOUL (P2.T1) (M.Kogut),nan,nan,201145,Jeff Green,MEM,201956,Omri Casspi,SAC,0,nan,nan,Foul ,Shooting
88967,21500712,4,10:15,nan,Casspi Free Throw 1 of 1 (12 PTS),84 - 99,201956,Omri Casspi,SAC,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 1
88968,21500712,4,10:15,SUB: Conley FOR Chalmers,nan,nan,201596,Mario Chalmers,MEM,201144,Mike Conley,MEM,0,nan,nan,Substitution ,nan
88969,21500712,4,9:58,Carter 25' 3PT Jump Shot (11 PTS) (Conley 6 AST),nan,84 - 102,1713,Vince Carter,MEM,201144,Mike Conley,MEM,0,nan,nan,Made Shot ,nan
88970,21500712,4,9:47,nan,Casspi 25' 3PT Jump Shot (15 PTS),87 - 102,201956,Omri Casspi,SAC,0,nan,nan,0,nan,nan,Made Shot ,nan
88971,21500712,4,9:28,MISS Barnes 24' 3PT Jump Shot,nan,nan,2440,Matt Barnes,MEM,0,nan,nan,0,nan,nan,Missed Shot ,nan
88972,21500712,4,9:27,nan,Gay REBOUND (Off:0 Def:3),nan,200752,Rudy Gay,SAC,0,nan,nan,0,nan,nan,Rebound ,Unknown
88973,21500712,4,9:20,nan,Collison 15' Jump Shot (10 PTS),89 - 102,201954,Darren Collison,SAC,0,nan,nan,0,nan,nan,Made Shot ,nan
88974,21500712,4,8:59,Carter 19' Jump Shot (13 PTS),nan,89 - 104,1713,Vince Carter,MEM,0,nan,nan,0,nan,nan,Made Shot ,nan
88975,21500712,4,8:49,Hollins BLOCK (1 BLK),MISS Collison 2' Driving Layup,nan,201954,Darren Collison,SAC,0,nan,nan,200797,Ryan Hollins,MEM,Missed Shot ,nan
88976,21500712,4,8:49,Hollins REBOUND (Off:0 Def:2),nan,nan,200797,Ryan Hollins,MEM,0,nan,nan,0,nan,nan,Rebound ,Unknown
88977,21500712,4,8:49,nan,Casspi Personal Take Foul (P3.T2) (K.Scott),nan,201956,Omri Casspi,SAC,200797,Ryan Hollins,MEM,0,nan,nan,Foul ,Personal Take
88978,21500712,4,8:49,nan,nan,nan,0,nan,nan,0,nan,nan,0,nan,nan,Timeout ,Regular
88979,21500712,4,8:49,nan,SUB: Cousins FOR Koufos,nan,201585,Kosta Koufos,SAC,202326,DeMarcus Cousins,SAC,0,nan,nan,Substitution ,nan
88980,21500712,4,8:34,MISS Green 6' Driving Floating Jump Shot,Gay BLOCK (1 BLK),nan,201145,Jeff Green,MEM,0,nan,nan,200752,Rudy Gay,SAC,Missed Shot ,nan
88981,21500712,4,8:33,nan,Cousins REBOUND (Off:4 Def:8),nan,202326,DeMarcus Cousins,SAC,0,nan,nan,0,nan,nan,Rebound ,Unknown
88982,21500712,4,8:29,nan,MISS Anderson 25' 3PT Running Jump Shot,nan,202341,James Anderson,SAC,0,nan,nan,0,nan,nan,Missed Shot ,nan
88983,21500712,4,8:27,Hollins REBOUND (Off:0 Def:3),nan,nan,200797,Ryan Hollins,MEM,0,nan,nan,0,nan,nan,Rebound ,Unknown
88984,21500712,4,8:23,MISS Carter 24' 3PT Running Jump Shot,nan,nan,1713,Vince Carter,MEM,0,nan,nan,0,nan,nan,Missed Shot ,nan
88985,21500712,4,8:23,nan,Kings Rebound,nan,1610612758,nan,nan,0,nan,nan,0,nan,nan,Rebound ,Unknown
88986,21500712,4,8:09,nan,MISS Cousins 7' Turnaround Fadeaway Shot,nan,202326,DeMarcus Cousins,SAC,0,nan,nan,0,nan,nan,Missed Shot ,nan
88987,21500712,4,8:08,nan,Kings Rebound,nan,1610612758,nan,nan,0,nan,nan,0,nan,nan,Rebound ,Unknown
88988,21500712,4,7:55,Hollins BLOCK (2 BLK),MISS Cousins 1' Cutting Layup Shot,nan,202326,DeMarcus Cousins,SAC,0,nan,nan,200797,Ryan Hollins,MEM,Missed Shot ,nan
88989,21500712,4,7:53,nan,Cousins REBOUND (Off:5 Def:8),nan,202326,DeMarcus Cousins,SAC,0,nan,nan,0,nan,nan,Rebound ,Unknown
88990,21500712,4,7:53,Barnes S.FOUL (P3.T2) (K.Scott),nan,nan,2440,Matt Barnes,MEM,202326,DeMarcus Cousins,SAC,0,nan,nan,Foul ,Shooting
