sequence_id,game_id,period,play_clock,home_description,away_description,score,player1_id,player1_name,player1_team,player2_id,player2_name,player2_team,player3_id,player3_name,player3_team,event_type,event_description
141592,21501135,4,12:00,nan,nan,92 - 76,0,nan,nan,0,nan,nan,0,nan,nan,Start Period ,nan
141593,21501135,4,11:50,McLemore 3' Driving Layup (5 PTS) (Koufos 1 AST),nan,92 - 78,203463,Ben McLemore,SAC,201585,Kosta Koufos,SAC,0,nan,nan,Made Shot ,nan
141594,21501135,4,11:26,nan,MISS Dragic 6' Jump Shot,nan,201609,Goran Dragic,MIA,0,nan,nan,0,nan,nan,Missed Shot ,nan
141595,21501135,4,11:26,Koufos REBOUND (Off:3 Def:1),nan,nan,201585,Kosta Koufos,SAC,0,nan,nan,0,nan,nan,Rebound ,Unknown
141596,21501135,4,11:19,MISS McLemore 25' 3PT Jump Shot,nan,nan,203463,Ben McLemore,SAC,0,nan,nan,0,nan,nan,Missed Shot ,nan
141597,21501135,4,11:18,nan,Whiteside REBOUND (Off:0 Def:8),nan,202355,Hassan Whiteside,MIA,0,nan,nan,0,nan,nan,Rebound ,Unknown
141598,21501135,4,11:07,nan,Dragic Traveling Turnover (P4.T15),nan,201609,Goran Dragic,MIA,0,nan,nan,0,nan,nan,Turnover ,Traveling
141599,21501135,4,10:47,Koufos 8' Hook Shot (6 PTS) (Collison 2 AST),nan,92 - 80,201585,Kosta Koufos,SAC,201954,Darren Collison,SAC,0,nan,nan,Made Shot ,nan
141600,21501135,4,10:24,nan,MISS Whiteside 6' Jump Shot,nan,202355,Hassan Whiteside,MIA,0,nan,nan,0,nan,nan,Missed Shot ,nan
141601,21501135,4,10:24,KINGS Rebound,nan,nan,1610612758,nan,nan,0,nan,nan,0,nan,nan,Rebound ,Unknown
141602,21501135,4,10:24,nan,Whiteside L.B.FOUL (P2.T1) (J.VanDuyne),nan,202355,Hassan Whiteside,MIA,201585,Kosta Koufos,SAC,0,nan,nan,Foul ,Loose Ball
141603,21501135,4,10:11,nan,Richardson S.FOUL (P2.T2) (J.VanDuyne),nan,1626196,Josh Richardson,MIA,201954,Darren Collison,SAC,0,nan,nan,Foul ,Shooting
141604,21501135,4,10:11,Collison Free Throw 1 of 2 (16 PTS),nan,92 - 81,201954,Darren Collison,SAC,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
141605,21501135,4,10:11,Collison Free Throw 2 of 2 (17 PTS),nan,92 - 82,201954,Darren Collison,SAC,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
141606,21501135,4,9:47,nan,Dragic 25' 3PT Pullup Jump Shot (13 PTS),95 - 82,201609,Goran Dragic,MIA,0,nan,nan,0,nan,nan,Made Shot ,nan
141607,21501135,4,9:32,MISS McLemore 2' Driving Layup,nan,nan,203463,Ben McLemore,SAC,0,nan,nan,0,nan,nan,Missed Shot ,nan
141608,21501135,4,9:31,nan,Deng REBOUND (Off:2 Def:1),nan,2736,Luol Deng,MIA,0,nan,nan,0,nan,nan,Rebound ,Unknown
141609,21501135,4,9:27,McLemore STEAL (2 STL),Deng Bad Pass Turnover (P2.T16),nan,2736,Luol Deng,MIA,203463,Ben McLemore,SAC,0,nan,nan,Turnover ,Bad Pass
141610,21501135,4,9:22,Collison OFF.Foul (P2) (S.Foster),nan,nan,201954,Darren Collison,SAC,201609,Goran Dragic,MIA,0,nan,nan,Foul ,Offensive
141611,21501135,4,9:22,Collison Foul Turnover (P1.T12),nan,nan,201954,Darren Collison,SAC,0,nan,nan,0,nan,nan,Turnover ,Foul
141612,21501135,4,9:06,nan,MISS Deng 19' Jump Shot,nan,2736,Luol Deng,MIA,0,nan,nan,0,nan,nan,Missed Shot ,nan
141613,21501135,4,9:05,Koufos REBOUND (Off:3 Def:2),nan,nan,201585,Kosta Koufos,SAC,0,nan,nan,0,nan,nan,Rebound ,Unknown
141614,21501135,4,9:02,Collison 2' Running Layup (19 PTS),nan,95 - 84,201954,Darren Collison,SAC,0,nan,nan,0,nan,nan,Made Shot ,nan
141615,21501135,4,9:02,nan,Richardson S.FOUL (P3.T3) (J.Tiven),nan,1626196,Josh Richardson,MIA,201954,Darren Collison,SAC,0,nan,nan,Foul ,Shooting
141616,21501135,4,9:02,Collison Free Throw 1 of 1 (20 PTS),nan,95 - 85,201954,Darren Collison,SAC,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 1
141617,21501135,4,8:45,nan,MISS Richardson 23' Jump Shot,nan,1626196,Josh Richardson,MIA,0,nan,nan,0,nan,nan,Missed Shot ,nan
141618,21501135,4,8:44,Koufos REBOUND (Off:3 Def:3),nan,nan,201585,Kosta Koufos,SAC,0,nan,nan,0,nan,nan,Rebound ,Unknown
141619,21501135,4,8:34,Curry 25' 3PT Pullup Jump Shot (15 PTS),nan,95 - 88,203552,Seth Curry,SAC,0,nan,nan,0,nan,nan,Made Shot ,nan
141620,21501135,4,8:34,nan,Heat Timeout: Regular (Reg.4 Short 1),nan,1610612748,nan,nan,0,nan,nan,0,nan,nan,Timeout ,Regular
141621,21501135,4,8:12,nan,MISS Dragic 18' Fadeaway Jumper,nan,201609,Goran Dragic,MIA,0,nan,nan,0,nan,nan,Missed Shot ,nan
141622,21501135,4,8:12,Anderson REBOUND (Off:0 Def:1),nan,nan,202341,James Anderson,SAC,0,nan,nan,0,nan,nan,Rebound ,Unknown
141623,21501135,4,8:06,Collison 2' Running Layup (22 PTS),nan,95 - 90,201954,Darren Collison,SAC,0,nan,nan,0,nan,nan,Made Shot ,nan
141624,21501135,4,7:42,nan,Winslow 4' Jump Bank Shot (12 PTS),97 - 90,1626159,Justise Winslow,MIA,0,nan,nan,0,nan,nan,Made Shot ,nan
141625,21501135,4,7:28,nan,Richardson S.FOUL (P4.T4) (J.VanDuyne),nan,1626196,Josh Richardson,MIA,201954,Darren Collison,SAC,0,nan,nan,Foul ,Shooting
