sequence_id,game_id,period,play_clock,home_description,away_description,score,player1_id,player1_name,player1_team,player2_id,player2_name,player2_team,player3_id,player3_name,player3_team,event_type,event_description
72030,21500578,4,12:00,nan,nan,74 - 71,0,nan,nan,0,nan,nan,0,nan,nan,Start Period ,nan
72031,21500578,4,11:50,Oubre Jr. STEAL (1 STL),Carter-Williams Bad Pass Turnover (P3.T16),nan,203487,Michael Carter-Williams,MIL,1626162,Kelly Oubre Jr.,WAS,0,nan,nan,Turnover ,Bad Pass
72032,21500578,4,11:47,nan,Carter-Williams S.FOUL (P1.T1) (M.Ervin),nan,203487,Michael Carter-Williams,MIL,1626162,Kelly Oubre Jr.,WAS,0,nan,nan,Foul ,Shooting
72033,21500578,4,11:47,Oubre Jr. Free Throw 1 of 2 (1 PTS),nan,74 - 72,1626162,Kelly Oubre Jr.,WAS,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
72034,21500578,4,11:47,Oubre Jr. Free Throw 2 of 2 (2 PTS),nan,74 - 73,1626162,Kelly Oubre Jr.,WAS,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
72035,21500578,4,11:33,Nene STEAL (2 STL),Henson Bad Pass Turnover (P2.T17),nan,203089,John Henson,MIL,2403,Nene,WAS,0,nan,nan,Turnover ,Bad Pass
72036,21500578,4,11:29,Sessions  Driving Dunk (12 PTS) (Nene 3 AST),nan,74 - 75,201196,Ramon Sessions,WAS,2403,Nene,WAS,0,nan,nan,Made Shot ,nan
72037,21500578,4,11:21,nan,Bucks Timeout: Regular (Reg.5 Short 1),nan,1610612749,nan,nan,0,nan,nan,0,nan,nan,Timeout ,Regular
72038,21500578,4,11:03,nan,Carter-Williams Out of Bounds Lost Ball Turnover (P4.T18),nan,203487,Michael Carter-Williams,MIL,0,nan,nan,0,nan,nan,Turnover ,Out of Bounds Lost Ball Turnover
72039,21500578,4,10:45,MISS Nene 2' Layup,nan,nan,2403,Nene,WAS,0,nan,nan,0,nan,nan,Missed Shot ,nan
72040,21500578,4,10:44,nan,O'Bryant III REBOUND (Off:1 Def:2),nan,203948,Johnny O'Bryant III,MIL,0,nan,nan,0,nan,nan,Rebound ,Unknown
72041,21500578,4,10:36,nan,MISS Carter-Williams 4' Jump Shot,nan,203487,Michael Carter-Williams,MIL,0,nan,nan,0,nan,nan,Missed Shot ,nan
72042,21500578,4,10:35,nan,O'Bryant III REBOUND (Off:2 Def:2),nan,203948,Johnny O'Bryant III,MIL,0,nan,nan,0,nan,nan,Rebound ,Unknown
72043,21500578,4,10:35,nan,SUB: Middleton FOR Vaughn,nan,1626173,Rashad Vaughn,MIL,203114,Khris Middleton,MIL,0,nan,nan,Substitution ,nan
72044,21500578,4,10:35,nan,SUB: Antetokounmpo FOR Carter-Williams,nan,203487,Michael Carter-Williams,MIL,203507,Giannis Antetokounmpo,MIL,0,nan,nan,Substitution ,nan
72045,21500578,4,10:35,SUB: Wall FOR Beal,nan,nan,203078,Bradley Beal,WAS,202322,John Wall,WAS,0,nan,nan,Substitution ,nan
72046,21500578,4,10:35,WIZARDS Timeout: Regular (Full 4 Short 0),nan,nan,1610612764,nan,nan,0,nan,nan,0,nan,nan,Timeout ,Regular
72047,21500578,4,10:34,Jump Ball Nene vs. O'Bryant III: Tip to Sessions,nan,nan,2403,Nene,WAS,203948,Johnny O'Bryant III,MIL,201196,Ramon Sessions,WAS,Jump Ball ,nan
72048,21500578,4,10:34,Nene STEAL (3 STL),O'Bryant III Lost Ball Turnover (P1.T19),nan,203948,Johnny O'Bryant III,MIL,2403,Nene,WAS,0,nan,nan,Turnover ,Lost Ball
72049,21500578,4,10:20,Oubre Jr. 24' 3PT Jump Shot (5 PTS) (Wall 7 AST),nan,74 - 78,1626162,Kelly Oubre Jr.,WAS,202322,John Wall,WAS,0,nan,nan,Made Shot ,nan
72050,21500578,4,10:09,Oubre Jr. P.FOUL (P1.T1) (D.Crawford),nan,nan,1626162,Kelly Oubre Jr.,WAS,203953,Jabari Parker,MIL,0,nan,nan,Foul ,Personal
72051,21500578,4,10:04,Gooden STEAL (1 STL),Henson Bad Pass Turnover (P3.T20),nan,203089,John Henson,MIL,2400,Drew Gooden,WAS,0,nan,nan,Turnover ,Bad Pass
72052,21500578,4,10:01,nan,Antetokounmpo S.FOUL (P1.T2) (D.Crawford),nan,203507,Giannis Antetokounmpo,MIL,202322,John Wall,WAS,0,nan,nan,Foul ,Shooting
72053,21500578,4,10:01,MISS Wall Free Throw 1 of 2,nan,nan,202322,John Wall,WAS,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
72054,21500578,4,10:01,WIZARDS Rebound,nan,nan,1610612764,nan,nan,0,nan,nan,0,nan,nan,Rebound ,Normal Rebound
72055,21500578,4,10:01,Wall Free Throw 2 of 2 (10 PTS),nan,74 - 79,202322,John Wall,WAS,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
72056,21500578,4,9:51,nan,MISS Henson 5' Jump Shot,nan,203089,John Henson,MIL,0,nan,nan,0,nan,nan,Missed Shot ,nan
72057,21500578,4,9:50,Gooden REBOUND (Off:2 Def:3),nan,nan,2400,Drew Gooden,WAS,0,nan,nan,0,nan,nan,Rebound ,Unknown
72058,21500578,4,9:38,Wall 18' Fadeaway Jumper (12 PTS),nan,74 - 81,202322,John Wall,WAS,0,nan,nan,0,nan,nan,Made Shot ,nan
72059,21500578,4,9:22,Oubre Jr. STEAL (2 STL),Henson Bad Pass Turnover (P4.T21),nan,203089,John Henson,MIL,1626162,Kelly Oubre Jr.,WAS,0,nan,nan,Turnover ,Bad Pass
72060,21500578,4,9:16,MISS Wall 2' Layup,nan,nan,202322,John Wall,WAS,0,nan,nan,0,nan,nan,Missed Shot ,nan
72061,21500578,4,9:14,Wall REBOUND (Off:1 Def:3),nan,nan,202322,John Wall,WAS,0,nan,nan,0,nan,nan,Rebound ,Unknown
72062,21500578,4,9:07,MISS Sessions 21' Jump Shot,nan,nan,201196,Ramon Sessions,WAS,0,nan,nan,0,nan,nan,Missed Shot ,nan
72063,21500578,4,9:06,nan,Antetokounmpo REBOUND (Off:0 Def:10),nan,203507,Giannis Antetokounmpo,MIL,0,nan,nan,0,nan,nan,Rebound ,Unknown
72064,21500578,4,9:00,nan,Antetokounmpo OFF.Foul (P2) (D.Crawford),nan,203507,Giannis Antetokounmpo,MIL,2403,Nene,WAS,0,nan,nan,Foul ,Offensive
72065,21500578,4,9:00,nan,Antetokounmpo Foul Turnover (P4.T22),nan,203507,Giannis Antetokounmpo,MIL,0,nan,nan,0,nan,nan,Turnover ,Foul
72066,21500578,4,8:38,nan,O'Bryant III S.FOUL (P3.T3) (M.Ervin),nan,203948,Johnny O'Bryant III,MIL,202322,John Wall,WAS,0,nan,nan,Foul ,Shooting
72067,21500578,4,8:38,Wall Free Throw 1 of 2 (13 PTS),nan,74 - 82,202322,John Wall,WAS,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
72068,21500578,4,8:38,nan,SUB: Monroe FOR Henson,nan,203089,John Henson,MIL,202328,Greg Monroe,MIL,0,nan,nan,Substitution ,nan
72069,21500578,4,8:38,nan,SUB: Vaughn FOR O'Bryant III,nan,203948,Johnny O'Bryant III,MIL,1626173,Rashad Vaughn,MIL,0,nan,nan,Substitution ,nan
72070,21500578,4,8:38,Wall Free Throw 2 of 2 (14 PTS),nan,74 - 83,202322,John Wall,WAS,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
