sequence_id,game_id,period,play_clock,home_description,away_description,score,player1_id,player1_name,player1_team,player2_id,player2_name,player2_team,player3_id,player3_name,player3_team,event_type,event_description
88161,21500706,4,12:00,nan,nan,71 - 78,0,nan,nan,0,nan,nan,0,nan,nan,Start Period ,nan
88162,21500706,4,11:38,nan,MISS Russell 10' Jump Shot,nan,1626156,D'Angelo Russell,LAL,0,nan,nan,0,nan,nan,Missed Shot ,nan
88163,21500706,4,11:37,Aldrich REBOUND (Off:0 Def:3),nan,nan,202332,Cole Aldrich,LAC,0,nan,nan,0,nan,nan,Rebound ,Unknown
88164,21500706,4,11:20,Rivers 3' Driving Layup (15 PTS) (Stephenson 2 AST),nan,71 - 80,203085,Austin Rivers,LAC,202362,Lance Stephenson,LAC,0,nan,nan,Made Shot ,nan
88165,21500706,4,11:06,Prigioni P.FOUL (P1.T1) (L.Wood),nan,nan,203143,Pablo Prigioni,LAC,203903,Jordan Clarkson,LAL,0,nan,nan,Foul ,Personal
88166,21500706,4,10:54,nan,Young 26' 3PT Jump Shot (3 PTS),74 - 80,201156,Nick Young,LAL,0,nan,nan,0,nan,nan,Made Shot ,nan
88167,21500706,4,10:40,Rivers 11' Driving Floating Jump Shot (17 PTS),nan,74 - 82,203085,Austin Rivers,LAC,0,nan,nan,0,nan,nan,Made Shot ,nan
88168,21500706,4,10:31,nan,Bass Traveling Turnover (P3.T15),nan,101138,Brandon Bass,LAL,0,nan,nan,0,nan,nan,Turnover ,Traveling
88169,21500706,4,10:19,Aldrich 6' Hook Shot (6 PTS) (Rivers 1 AST),nan,74 - 84,202332,Cole Aldrich,LAC,203085,Austin Rivers,LAC,0,nan,nan,Made Shot ,nan
88170,21500706,4,9:59,nan,MISS Russell 26' 3PT Jump Shot,nan,1626156,D'Angelo Russell,LAL,0,nan,nan,0,nan,nan,Missed Shot ,nan
88171,21500706,4,9:58,Aldrich REBOUND (Off:0 Def:4),nan,nan,202332,Cole Aldrich,LAC,0,nan,nan,0,nan,nan,Rebound ,Unknown
88172,21500706,4,9:38,MISS Crawford 16' Pullup Jump Shot,nan,nan,2037,Jamal Crawford,LAC,0,nan,nan,0,nan,nan,Missed Shot ,nan
88173,21500706,4,9:37,nan,Russell REBOUND (Off:0 Def:2),nan,1626156,D'Angelo Russell,LAL,0,nan,nan,0,nan,nan,Rebound ,Unknown
88174,21500706,4,9:31,nan,MISS Clarkson 25' 3PT Pullup Jump Shot,nan,203903,Jordan Clarkson,LAL,0,nan,nan,0,nan,nan,Missed Shot ,nan
88175,21500706,4,9:29,Prigioni REBOUND (Off:1 Def:1),nan,nan,203143,Pablo Prigioni,LAC,0,nan,nan,0,nan,nan,Rebound ,Unknown
88176,21500706,4,9:08,Crawford 26' 3PT Jump Shot (13 PTS),nan,74 - 87,2037,Jamal Crawford,LAC,0,nan,nan,0,nan,nan,Made Shot ,nan
88177,21500706,4,9:07,nan,Lakers Timeout: Regular (Reg.4 Short 0),nan,1610612747,nan,nan,0,nan,nan,0,nan,nan,Timeout ,Regular
88178,21500706,4,9:07,nan,SUB: Randle FOR Nance Jr.,nan,1626204,Larry Nance Jr.,LAL,203944,Julius Randle,LAL,0,nan,nan,Substitution ,nan
88179,21500706,4,8:48,nan,Bass  Cutting Dunk Shot (8 PTS) (Clarkson 2 AST),76 - 87,101138,Brandon Bass,LAL,203903,Jordan Clarkson,LAL,0,nan,nan,Made Shot ,nan
88180,21500706,4,8:26,Stephenson  3PT Jump Shot (14 PTS) (Aldrich 1 AST),nan,76 - 90,202362,Lance Stephenson,LAC,202332,Cole Aldrich,LAC,0,nan,nan,Made Shot ,nan
