sequence_id,game_id,period,play_clock,home_description,away_description,score,player1_id,player1_name,player1_team,player2_id,player2_name,player2_team,player3_id,player3_name,player3_team,event_type,event_description
42678,21500338,4,12:00,nan,nan,93 - 73,0,nan,nan,0,nan,nan,0,nan,nan,Start Period ,nan
42679,21500338,4,11:46,MISS Gasol 19' Jump Shot,nan,nan,201188,Marc Gasol,MEM,0,nan,nan,0,nan,nan,Missed Shot ,nan
42680,21500338,4,11:45,Barnes REBOUND (Off:1 Def:1),nan,nan,2440,Matt Barnes,MEM,0,nan,nan,0,nan,nan,Rebound ,Unknown
42681,21500338,4,11:42,nan,Walker S.FOUL (P2.T1) (C.Blair),nan,202689,Kemba Walker,CHA,201596,Mario Chalmers,MEM,0,nan,nan,Foul ,Shooting
42682,21500338,4,11:42,MISS Chalmers Free Throw 1 of 2,nan,nan,201596,Mario Chalmers,MEM,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
42683,21500338,4,11:42,GRIZZLIES Rebound,nan,nan,1610612763,nan,nan,0,nan,nan,0,nan,nan,Rebound ,Normal Rebound
42684,21500338,4,11:42,Chalmers Free Throw 2 of 2 (4 PTS),nan,93 - 74,201596,Mario Chalmers,MEM,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
42685,21500338,4,11:25,nan,MISS Hawes 8' Jump Shot,nan,201150,Spencer Hawes,CHA,0,nan,nan,0,nan,nan,Missed Shot ,nan
42686,21500338,4,11:24,Barnes REBOUND (Off:1 Def:2),nan,nan,2440,Matt Barnes,MEM,0,nan,nan,0,nan,nan,Rebound ,Unknown
42687,21500338,4,11:15,MISS Gasol 7' Turnaround Hook Shot,nan,nan,201188,Marc Gasol,MEM,0,nan,nan,0,nan,nan,Missed Shot ,nan
42688,21500338,4,11:13,Barnes REBOUND (Off:2 Def:2),nan,nan,2440,Matt Barnes,MEM,0,nan,nan,0,nan,nan,Rebound ,Unknown
42689,21500338,4,11:13,MISS Barnes 1' Tip Layup Shot,nan,nan,2440,Matt Barnes,MEM,0,nan,nan,0,nan,nan,Missed Shot ,nan
42690,21500338,4,11:11,nan,Lamb REBOUND (Off:1 Def:3),nan,203087,Jeremy Lamb,CHA,0,nan,nan,0,nan,nan,Rebound ,Unknown
42691,21500338,4,11:07,nan,Hawes Traveling Turnover (P3.T11),nan,201150,Spencer Hawes,CHA,0,nan,nan,0,nan,nan,Turnover ,Traveling
42692,21500338,4,11:03,MISS Lee 3' Reverse Layup,nan,nan,201584,Courtney Lee,MEM,0,nan,nan,0,nan,nan,Missed Shot ,nan
42693,21500338,4,11:02,nan,Kaminsky REBOUND (Off:1 Def:4),nan,1626163,Frank Kaminsky,CHA,0,nan,nan,0,nan,nan,Rebound ,Unknown
42694,21500338,4,10:42,nan,MISS Walker 27' 3PT Jump Shot,nan,202689,Kemba Walker,CHA,0,nan,nan,0,nan,nan,Missed Shot ,nan
42695,21500338,4,10:42,Barnes REBOUND (Off:2 Def:3),nan,nan,2440,Matt Barnes,MEM,0,nan,nan,0,nan,nan,Rebound ,Unknown
42696,21500338,4,10:32,MISS Gasol 8' Pullup Jump Shot,nan,nan,201188,Marc Gasol,MEM,0,nan,nan,0,nan,nan,Missed Shot ,nan
42697,21500338,4,10:30,nan,Kaminsky REBOUND (Off:1 Def:5),nan,1626163,Frank Kaminsky,CHA,0,nan,nan,0,nan,nan,Rebound ,Unknown
42698,21500338,4,10:15,nan,Lamb 2' Cutting Layup Shot (7 PTS) (Kaminsky 2 AST),95 - 74,203087,Jeremy Lamb,CHA,1626163,Frank Kaminsky,CHA,0,nan,nan,Made Shot ,nan
42699,21500338,4,9:54,nan,Lamb S.FOUL (P3.T2) (C.Kirkland),nan,203087,Jeremy Lamb,CHA,203210,JaMychal Green,MEM,0,nan,nan,Foul ,Shooting
42700,21500338,4,9:54,MISS Green Free Throw 1 of 2,nan,nan,203210,JaMychal Green,MEM,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
42701,21500338,4,9:54,GRIZZLIES Rebound,nan,nan,1610612763,nan,nan,0,nan,nan,0,nan,nan,Rebound ,Normal Rebound
42702,21500338,4,9:54,SUB: Allen FOR Gasol,nan,nan,201188,Marc Gasol,MEM,2754,Tony Allen,MEM,0,nan,nan,Substitution ,nan
42703,21500338,4,9:54,nan,SUB: Williams FOR Hawes,nan,201150,Spencer Hawes,CHA,101107,Marvin Williams,CHA,0,nan,nan,Substitution ,nan
42704,21500338,4,9:54,Green Free Throw 2 of 2 (4 PTS),nan,95 - 75,203210,JaMychal Green,MEM,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
42705,21500338,4,9:34,Green S.FOUL (P3.T1) (C.Kirkland),nan,nan,203210,JaMychal Green,MEM,202689,Kemba Walker,CHA,0,nan,nan,Foul ,Shooting
42706,21500338,4,9:34,nan,Walker Free Throw 1 of 2 (26 PTS),96 - 75,202689,Kemba Walker,CHA,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
42707,21500338,4,9:34,nan,Walker Free Throw 2 of 2 (27 PTS),97 - 75,202689,Kemba Walker,CHA,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
42708,21500338,4,9:18,MISS Lee 8' Driving Floating Jump Shot,nan,nan,201584,Courtney Lee,MEM,0,nan,nan,0,nan,nan,Missed Shot ,nan
42709,21500338,4,9:16,Green REBOUND (Off:2 Def:0),nan,nan,203210,JaMychal Green,MEM,0,nan,nan,0,nan,nan,Rebound ,Unknown
42710,21500338,4,9:16,Green 1' Tip Layup Shot (6 PTS),nan,97 - 77,203210,JaMychal Green,MEM,0,nan,nan,0,nan,nan,Made Shot ,nan
42711,21500338,4,8:53,nan,Walker Out of Bounds Lost Ball Turnover (P3.T12),nan,202689,Kemba Walker,CHA,0,nan,nan,0,nan,nan,Turnover ,Out of Bounds Lost Ball Turnover
42712,21500338,4,8:53,nan,nan,nan,0,nan,nan,0,nan,nan,0,nan,nan,Timeout ,Regular
42713,21500338,4,8:43,nan,Kaminsky S.FOUL (P3.T3) (C.Kirkland),nan,1626163,Frank Kaminsky,CHA,201596,Mario Chalmers,MEM,0,nan,nan,Foul ,Shooting
42714,21500338,4,8:43,Chalmers Free Throw 1 of 2 (5 PTS),nan,97 - 78,201596,Mario Chalmers,MEM,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
42715,21500338,4,8:43,Chalmers Free Throw 2 of 2 (6 PTS),nan,97 - 79,201596,Mario Chalmers,MEM,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
