sequence_id,game_id,period,play_clock,home_description,away_description,score,player1_id,player1_name,player1_team,player2_id,player2_name,player2_team,player3_id,player3_name,player3_team,event_type,event_description
125332,21501002,4,12:00,nan,nan,79 - 67,0,nan,nan,0,nan,nan,0,nan,nan,Start Period ,nan
125333,21501002,4,11:45,nan,Belinelli 3' Driving Layup (5 PTS) (Collison 2 AST),81 - 67,201158,Marco Belinelli,SAC,201954,Darren Collison,SAC,0,nan,nan,Made Shot ,nan
125334,21501002,4,11:32,MISS Kelly 2' Finger Roll Layup,nan,nan,203527,Ryan Kelly,LAL,0,nan,nan,0,nan,nan,Missed Shot ,nan
125335,21501002,4,11:28,nan,Casspi REBOUND (Off:0 Def:3),nan,201956,Omri Casspi,SAC,0,nan,nan,0,nan,nan,Rebound ,Unknown
125336,21501002,4,11:24,Williams BLOCK (1 BLK),MISS Belinelli 8' Jump Shot,nan,201158,Marco Belinelli,SAC,0,nan,nan,101150,Lou Williams,LAL,Missed Shot ,nan
125337,21501002,4,11:24,nan,Kings Rebound,nan,1610612758,nan,nan,0,nan,nan,0,nan,nan,Rebound ,Unknown
125338,21501002,4,11:16,nan,MISS Casspi 8' Floating Jump Shot,nan,201956,Omri Casspi,SAC,0,nan,nan,0,nan,nan,Missed Shot ,nan
125339,21501002,4,11:13,Nance Jr. REBOUND (Off:0 Def:4),nan,nan,1626204,Larry Nance Jr.,LAL,0,nan,nan,0,nan,nan,Rebound ,Unknown
125340,21501002,4,11:04,Nance Jr. Bad Pass Turnover (P2.T19),Casspi STEAL (2 STL),nan,1626204,Larry Nance Jr.,LAL,201956,Omri Casspi,SAC,0,nan,nan,Turnover ,Bad Pass
125341,21501002,4,11:00,Huertas BLOCK (1 BLK),MISS Collison 2' Layup,nan,201954,Darren Collison,SAC,0,nan,nan,1626273,Marcelo Huertas,LAL,Missed Shot ,nan
125342,21501002,4,10:56,Nance Jr. REBOUND (Off:0 Def:5),nan,nan,1626204,Larry Nance Jr.,LAL,0,nan,nan,0,nan,nan,Rebound ,Unknown
125343,21501002,4,10:48,Sacre 10' Turnaround Fadeaway (8 PTS),nan,81 - 69,203135,Robert Sacre,LAL,0,nan,nan,0,nan,nan,Made Shot ,nan
125344,21501002,4,10:33,Williams S.FOUL (P1.T1) (T.Washington),nan,nan,101150,Lou Williams,LAL,201158,Marco Belinelli,SAC,0,nan,nan,Foul ,Shooting
125345,21501002,4,10:33,nan,Belinelli Free Throw 1 of 2 (6 PTS),82 - 69,201158,Marco Belinelli,SAC,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
125346,21501002,4,10:33,nan,Belinelli Free Throw 2 of 2 (7 PTS),83 - 69,201158,Marco Belinelli,SAC,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
125347,21501002,4,10:19,Williams 25' 3PT Pullup Jump Shot (15 PTS) (Sacre 1 AST),nan,83 - 72,101150,Lou Williams,LAL,203135,Robert Sacre,LAL,0,nan,nan,Made Shot ,nan
125348,21501002,4,10:07,nan,MISS Casspi 6' Hook Shot,nan,201956,Omri Casspi,SAC,0,nan,nan,0,nan,nan,Missed Shot ,nan
125349,21501002,4,10:04,Nance Jr. REBOUND (Off:0 Def:6),nan,nan,1626204,Larry Nance Jr.,LAL,0,nan,nan,0,nan,nan,Rebound ,Unknown
125350,21501002,4,9:46,Huertas 10' Pullup Jump Shot (8 PTS),nan,83 - 74,1626273,Marcelo Huertas,LAL,0,nan,nan,0,nan,nan,Made Shot ,nan
125351,21501002,4,9:26,nan,MISS Belinelli 17' Jump Shot,nan,201158,Marco Belinelli,SAC,0,nan,nan,0,nan,nan,Missed Shot ,nan
125352,21501002,4,9:25,Huertas REBOUND (Off:1 Def:4),nan,nan,1626273,Marcelo Huertas,LAL,0,nan,nan,0,nan,nan,Rebound ,Unknown
125353,21501002,4,9:07,Huertas Bad Pass Turnover (P4.T20),Belinelli STEAL (1 STL),nan,1626273,Marcelo Huertas,LAL,201158,Marco Belinelli,SAC,0,nan,nan,Turnover ,Bad Pass
125354,21501002,4,9:04,nan,Casspi 1' Driving Finger Roll Layup (6 PTS) (Belinelli 1 AST),85 - 74,201956,Omri Casspi,SAC,201158,Marco Belinelli,SAC,0,nan,nan,Made Shot ,nan
125355,21501002,4,9:04,Williams S.FOUL (P2.T2) (K.Scott),nan,nan,101150,Lou Williams,LAL,201956,Omri Casspi,SAC,0,nan,nan,Foul ,Shooting
125356,21501002,4,9:04,nan,Casspi Free Throw 1 of 1 (7 PTS),86 - 74,201956,Omri Casspi,SAC,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 1
125357,21501002,4,8:45,nan,Belinelli S.FOUL (P1.T1) (T.Washington),nan,201158,Marco Belinelli,SAC,101150,Lou Williams,LAL,0,nan,nan,Foul ,Shooting
125358,21501002,4,8:45,nan,nan,nan,0,nan,nan,0,nan,nan,0,nan,nan,Timeout ,Official
125359,21501002,4,8:45,nan,SUB: Gay FOR Cauley-Stein,nan,1626161,Willie Cauley-Stein,SAC,200752,Rudy Gay,SAC,0,nan,nan,Substitution ,nan
125360,21501002,4,8:45,Williams Free Throw 1 of 2 (16 PTS),nan,86 - 75,101150,Lou Williams,LAL,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
