sequence_id,game_id,period,play_clock,home_description,away_description,score,player1_id,player1_name,player1_team,player2_id,player2_name,player2_team,player3_id,player3_name,player3_team,event_type,event_description
15593,21500124,4,12:00,nan,nan,66 - 66,0,nan,nan,0,nan,nan,0,nan,nan,Start Period ,nan
15594,21500124,4,11:39,MISS Winslow 4' Jump Shot,nan,nan,1626159,Justise Winslow,MIA,0,nan,nan,0,nan,nan,Missed Shot ,nan
15595,21500124,4,11:38,Winslow REBOUND (Off:1 Def:1),nan,nan,1626159,Justise Winslow,MIA,0,nan,nan,0,nan,nan,Rebound ,Unknown
15596,21500124,4,11:37,MISS Winslow 1' Tip Layup Shot,nan,nan,1626159,Justise Winslow,MIA,0,nan,nan,0,nan,nan,Missed Shot ,nan
15597,21500124,4,11:36,nan,Favors REBOUND (Off:3 Def:3),nan,202324,Derrick Favors,UTA,0,nan,nan,0,nan,nan,Rebound ,Unknown
15598,21500124,4,11:16,nan,MISS Burks 16' Jump Shot,nan,202692,Alec Burks,UTA,0,nan,nan,0,nan,nan,Missed Shot ,nan
15599,21500124,4,11:15,Winslow REBOUND (Off:1 Def:2),nan,nan,1626159,Justise Winslow,MIA,0,nan,nan,0,nan,nan,Rebound ,Unknown
15600,21500124,4,11:06,Udrih 17' Jump Shot (2 PTS),nan,66 - 68,2757,Beno Udrih,MIA,0,nan,nan,0,nan,nan,Made Shot ,nan
15601,21500124,4,10:50,McRoberts P.FOUL (P3.T1) (B.Nansel),nan,nan,201177,Josh McRoberts,MIA,202324,Derrick Favors,UTA,0,nan,nan,Foul ,Personal
15602,21500124,4,10:35,nan,Burke 2' Driving Layup (6 PTS),68 - 68,203504,Trey Burke,UTA,0,nan,nan,0,nan,nan,Made Shot ,nan
15603,21500124,4,10:30,nan,Favors P.FOUL (P2.T1) (B.Nansel),nan,202324,Derrick Favors,UTA,2547,Chris Bosh,MIA,0,nan,nan,Foul ,Personal
15604,21500124,4,10:27,nan,Favors Violation:Kicked Ball (E.Lewis),nan,202324,Derrick Favors,UTA,0,nan,nan,0,nan,nan,Violation ,Kicked Ball
15605,21500124,4,10:17,Bosh 2' Driving Finger Roll Layup (20 PTS),nan,68 - 70,2547,Chris Bosh,MIA,0,nan,nan,0,nan,nan,Made Shot ,nan
15606,21500124,4,9:56,Bosh BLOCK (2 BLK),MISS Favors 2' Layup,nan,202324,Derrick Favors,UTA,0,nan,nan,2547,Chris Bosh,MIA,Missed Shot ,nan
15607,21500124,4,9:55,nan,Jazz Rebound,nan,1610612762,nan,nan,0,nan,nan,0,nan,nan,Rebound ,Unknown
15608,21500124,4,9:47,nan,MISS Ingles 22' Jump Shot,nan,204060,Joe Ingles,UTA,0,nan,nan,0,nan,nan,Missed Shot ,nan
15609,21500124,4,9:46,Johnson REBOUND (Off:1 Def:2),nan,nan,204020,Tyler Johnson,MIA,0,nan,nan,0,nan,nan,Rebound ,Unknown
15610,21500124,4,9:36,Bosh 1' Layup (22 PTS) (Winslow 1 AST),nan,68 - 72,2547,Chris Bosh,MIA,1626159,Justise Winslow,MIA,0,nan,nan,Made Shot ,nan
15611,21500124,4,9:36,nan,Burks S.FOUL (P3.T2) (M.Callahan),nan,202692,Alec Burks,UTA,2547,Chris Bosh,MIA,0,nan,nan,Foul ,Shooting
15612,21500124,4,9:36,nan,SUB: Booker FOR Burke,nan,203504,Trey Burke,UTA,202344,Trevor Booker,UTA,0,nan,nan,Substitution ,nan
15613,21500124,4,9:36,nan,SUB: Neto FOR Burks,nan,202692,Alec Burks,UTA,203526,Raul Neto,UTA,0,nan,nan,Substitution ,nan
15614,21500124,4,9:36,Bosh Free Throw 1 of 1 (23 PTS),nan,68 - 73,2547,Chris Bosh,MIA,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 1
15615,21500124,4,9:14,Johnson BLOCK (2 BLK),MISS Hood 17' Jump Shot,nan,203918,Rodney Hood,UTA,0,nan,nan,204020,Tyler Johnson,MIA,Missed Shot ,nan
15616,21500124,4,9:13,McRoberts REBOUND (Off:0 Def:2),nan,nan,201177,Josh McRoberts,MIA,0,nan,nan,0,nan,nan,Rebound ,Unknown
15617,21500124,4,9:06,MISS Johnson 2' Driving Layup,Ingles BLOCK (1 BLK),nan,204020,Tyler Johnson,MIA,0,nan,nan,204060,Joe Ingles,UTA,Missed Shot ,nan
15618,21500124,4,9:05,nan,Ingles REBOUND (Off:0 Def:1),nan,204060,Joe Ingles,UTA,0,nan,nan,0,nan,nan,Rebound ,Unknown
15619,21500124,4,9:00,nan,Favors 2' Layup (20 PTS) (Neto 1 AST),70 - 73,202324,Derrick Favors,UTA,203526,Raul Neto,UTA,0,nan,nan,Made Shot ,nan
15620,21500124,4,8:35,MISS Bosh 20' Jump Shot,nan,nan,2547,Chris Bosh,MIA,0,nan,nan,0,nan,nan,Missed Shot ,nan
15621,21500124,4,8:34,McRoberts REBOUND (Off:1 Def:2),nan,nan,201177,Josh McRoberts,MIA,0,nan,nan,0,nan,nan,Rebound ,Unknown
15622,21500124,4,8:33,MISS McRoberts 2' Tip Layup Shot,nan,nan,201177,Josh McRoberts,MIA,0,nan,nan,0,nan,nan,Missed Shot ,nan
15623,21500124,4,8:32,nan,Ingles REBOUND (Off:0 Def:2),nan,204060,Joe Ingles,UTA,0,nan,nan,0,nan,nan,Rebound ,Unknown
15624,21500124,4,8:24,nan,MISS Hood 9' Jump Shot,nan,203918,Rodney Hood,UTA,0,nan,nan,0,nan,nan,Missed Shot ,nan
15625,21500124,4,8:23,Bosh REBOUND (Off:2 Def:5),nan,nan,2547,Chris Bosh,MIA,0,nan,nan,0,nan,nan,Rebound ,Unknown
15626,21500124,4,8:17,Winslow 1' Layup (6 PTS) (Bosh 4 AST),nan,70 - 75,1626159,Justise Winslow,MIA,2547,Chris Bosh,MIA,0,nan,nan,Made Shot ,nan
15627,21500124,4,8:11,nan,Jazz Timeout: Regular (Reg.4 Short 1),nan,1610612762,nan,nan,0,nan,nan,0,nan,nan,Timeout ,Regular
15628,21500124,4,8:11,nan,SUB: Hayward FOR Ingles,nan,204060,Joe Ingles,UTA,202330,Gordon Hayward,UTA,0,nan,nan,Substitution ,nan
15629,21500124,4,8:01,nan,MISS Hayward 19' Jump Shot,nan,202330,Gordon Hayward,UTA,0,nan,nan,0,nan,nan,Missed Shot ,nan
15630,21500124,4,8:00,Bosh REBOUND (Off:2 Def:6),nan,nan,2547,Chris Bosh,MIA,0,nan,nan,0,nan,nan,Rebound ,Unknown
15631,21500124,4,7:42,nan,Hayward S.FOUL (P1.T3) (E.Lewis),nan,202330,Gordon Hayward,UTA,1626159,Justise Winslow,MIA,0,nan,nan,Foul ,Shooting
15632,21500124,4,7:42,MISS Winslow Free Throw 1 of 2,nan,nan,1626159,Justise Winslow,MIA,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
15633,21500124,4,7:42,HEAT Rebound,nan,nan,1610612748,nan,nan,0,nan,nan,0,nan,nan,Rebound ,Normal Rebound
15634,21500124,4,7:42,Winslow Free Throw 2 of 2 (7 PTS),nan,70 - 76,1626159,Justise Winslow,MIA,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
15635,21500124,4,7:22,Bosh BLOCK (3 BLK),MISS Hayward  Driving Dunk,nan,202330,Gordon Hayward,UTA,0,nan,nan,2547,Chris Bosh,MIA,Missed Shot ,nan
15636,21500124,4,7:20,Winslow REBOUND (Off:1 Def:3),nan,nan,1626159,Justise Winslow,MIA,0,nan,nan,0,nan,nan,Rebound ,Unknown
15637,21500124,4,7:14,nan,Hood S.FOUL (P2.T4) (M.Callahan),nan,203918,Rodney Hood,UTA,2547,Chris Bosh,MIA,0,nan,nan,Foul ,Shooting
15638,21500124,4,7:14,MISS Bosh Free Throw 1 of 2,nan,nan,2547,Chris Bosh,MIA,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
15639,21500124,4,7:14,HEAT Rebound,nan,nan,1610612748,nan,nan,0,nan,nan,0,nan,nan,Rebound ,Normal Rebound
15640,21500124,4,7:14,Bosh Free Throw 2 of 2 (24 PTS),nan,70 - 77,2547,Chris Bosh,MIA,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
15641,21500124,4,6:52,nan,MISS Hood 9' Jump Shot,nan,203918,Rodney Hood,UTA,0,nan,nan,0,nan,nan,Missed Shot ,nan
15642,21500124,4,6:51,nan,Jazz Rebound,nan,1610612762,nan,nan,0,nan,nan,0,nan,nan,Rebound ,Unknown
15643,21500124,4,6:42,nan,MISS Favors 17' Jump Shot,nan,202324,Derrick Favors,UTA,0,nan,nan,0,nan,nan,Missed Shot ,nan
15644,21500124,4,6:41,Winslow REBOUND (Off:1 Def:4),nan,nan,1626159,Justise Winslow,MIA,0,nan,nan,0,nan,nan,Rebound ,Unknown
15645,21500124,4,6:23,MISS Bosh 19' Jump Shot,nan,nan,2547,Chris Bosh,MIA,0,nan,nan,0,nan,nan,Missed Shot ,nan
15646,21500124,4,6:22,nan,Hayward REBOUND (Off:0 Def:7),nan,202330,Gordon Hayward,UTA,0,nan,nan,0,nan,nan,Rebound ,Unknown
