sequence_id,game_id,period,play_clock,home_description,away_description,score,player1_id,player1_name,player1_team,player2_id,player2_name,player2_team,player3_id,player3_name,player3_team,event_type,event_description
288793,21601104,4,12:00,nan,nan,87 - 90,0,nan,nan,0,nan,nan,0,nan,nan,Start Period ,nan
288794,21601104,4,11:38,nan,MISS Casspi 6' Driving Hook Shot,nan,201956,Omri Casspi,MIN,0,nan,nan,0,nan,nan,Missed Shot ,nan
288795,21601104,4,11:36,nan,Towns REBOUND (Off:2 Def:6),nan,1626157,Karl-Anthony Towns,MIN,0,nan,nan,0,nan,nan,Rebound ,Unknown
288796,21601104,4,11:34,nan,MISS Towns 12' Jump Shot,nan,1626157,Karl-Anthony Towns,MIN,0,nan,nan,0,nan,nan,Missed Shot ,nan
288797,21601104,4,11:33,Miles REBOUND (Off:0 Def:1),nan,nan,101139,CJ Miles,IND,0,nan,nan,0,nan,nan,Rebound ,Unknown
288798,21601104,4,11:27,MISS Miles 25' 3PT Jump Shot,nan,nan,101139,CJ Miles,IND,0,nan,nan,0,nan,nan,Missed Shot ,nan
288799,21601104,4,11:27,PACERS Rebound,nan,nan,1610612754,nan,nan,0,nan,nan,0,nan,nan,Rebound ,Unknown
288800,21601104,4,11:27,nan,Casspi L.B.FOUL (P4.T1) (N.Buchert),nan,201956,Omri Casspi,MIN,1626176,Rakeem Christmas,IND,0,nan,nan,Foul ,Loose Ball
288801,21601104,4,11:20,nan,nan,nan,1301,nan,nan,0,nan,nan,0,nan,nan,Foul ,Technical
288802,21601104,4,11:20,Miles Free Throw Technical (3 PTS),nan,87 - 91,101139,CJ Miles,IND,0,nan,nan,0,nan,nan,Free Throw ,Free Throw Technical
288803,21601104,4,11:05,MISS Miles 21' Jump Shot,nan,nan,101139,CJ Miles,IND,0,nan,nan,0,nan,nan,Missed Shot ,nan
288804,21601104,4,11:04,Christmas REBOUND (Off:1 Def:2),nan,nan,1626176,Rakeem Christmas,IND,0,nan,nan,0,nan,nan,Rebound ,Unknown
288805,21601104,4,11:02,nan,Casspi L.B.FOUL (P5.T2) (N.Buchert),nan,201956,Omri Casspi,MIN,1626176,Rakeem Christmas,IND,0,nan,nan,Foul ,Loose Ball
288806,21601104,4,11:02,nan,SUB: Dieng FOR Casspi,nan,201956,Omri Casspi,MIN,203476,Gorgui Dieng,MIN,0,nan,nan,Substitution ,nan
288807,21601104,4,10:50,MISS Brooks 16' Jump Shot,Dieng BLOCK (2 BLK),nan,201166,Aaron Brooks,IND,0,nan,nan,203476,Gorgui Dieng,MIN,Missed Shot ,nan
288808,21601104,4,10:49,nan,Jones REBOUND (Off:0 Def:2),nan,1626145,Tyus Jones,MIN,0,nan,nan,0,nan,nan,Rebound ,Unknown
288809,21601104,4,10:25,nan,MISS Dieng 24' 3PT Jump Shot,nan,203476,Gorgui Dieng,MIN,0,nan,nan,0,nan,nan,Missed Shot ,nan
288810,21601104,4,10:24,Ellis REBOUND (Off:1 Def:4),nan,nan,101145,Monta Ellis,IND,0,nan,nan,0,nan,nan,Rebound ,Unknown
288811,21601104,4,10:14,nan,Dieng Shooting Block Foul (P4.T3) (Z.Zarba),nan,203476,Gorgui Dieng,MIN,101139,CJ Miles,IND,0,nan,nan,Foul ,Shooting Block
288812,21601104,4,10:14,Miles Free Throw 1 of 2 (4 PTS),nan,87 - 92,101139,CJ Miles,IND,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
288813,21601104,4,10:14,MISS Miles Free Throw 2 of 2,nan,nan,101139,CJ Miles,IND,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
288814,21601104,4,10:14,nan,Muhammad REBOUND (Off:1 Def:1),nan,203498,Shabazz Muhammad,MIN,0,nan,nan,0,nan,nan,Rebound ,Unknown
288815,21601104,4,10:12,Allen L.B.FOUL (P2.T1) (N.Buchert),nan,nan,202730,Lavoy Allen,IND,203498,Shabazz Muhammad,MIN,0,nan,nan,Foul ,Loose Ball
288816,21601104,4,10:01,nan,Towns 26' 3PT Jump Shot (27 PTS) (Jones 7 AST),90 - 92,1626157,Karl-Anthony Towns,MIN,1626145,Tyus Jones,MIN,0,nan,nan,Made Shot ,nan
288817,21601104,4,9:46,Ellis 19' Pullup Jump Shot (15 PTS),nan,90 - 94,101145,Monta Ellis,IND,0,nan,nan,0,nan,nan,Made Shot ,nan
288818,21601104,4,9:35,Brooks S.FOUL (P2.T2) (A.Smith),nan,nan,201166,Aaron Brooks,IND,1626145,Tyus Jones,MIN,0,nan,nan,Foul ,Shooting
288819,21601104,4,9:35,nan,Jones Free Throw 1 of 2 (1 PTS),91 - 94,1626145,Tyus Jones,MIN,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
288820,21601104,4,9:35,SUB: Teague FOR Brooks,nan,nan,201166,Aaron Brooks,IND,201952,Jeff Teague,IND,0,nan,nan,Substitution ,nan
288821,21601104,4,9:35,nan,Jones Free Throw 2 of 2 (2 PTS),92 - 94,1626145,Tyus Jones,MIN,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
288822,21601104,4,9:18,nan,Dieng Violation:Defensive Goaltending (Z.Zarba),nan,203476,Gorgui Dieng,MIN,0,nan,nan,0,nan,nan,Violation ,Defensive Goaltending
288823,21601104,4,9:18,Ellis 2' Driving Finger Roll Layup (17 PTS),nan,92 - 96,101145,Monta Ellis,IND,0,nan,nan,0,nan,nan,Made Shot ,nan
288824,21601104,4,9:04,nan,MISS Muhammad 26' 3PT Jump Shot,nan,203498,Shabazz Muhammad,MIN,0,nan,nan,0,nan,nan,Missed Shot ,nan
288825,21601104,4,9:03,Teague REBOUND (Off:0 Def:3),nan,nan,201952,Jeff Teague,IND,0,nan,nan,0,nan,nan,Rebound ,Unknown
288826,21601104,4,8:54,Teague 14' Pullup Jump Shot (18 PTS),nan,92 - 98,201952,Jeff Teague,IND,0,nan,nan,0,nan,nan,Made Shot ,nan
288827,21601104,4,8:38,Miles Shooting Block Foul (P2.T3) (Z.Zarba),nan,nan,101139,CJ Miles,IND,203498,Shabazz Muhammad,MIN,0,nan,nan,Foul ,Shooting Block
288828,21601104,4,8:38,nan,nan,nan,0,nan,nan,0,nan,nan,0,nan,nan,Timeout ,Official
288829,21601104,4,8:38,SUB: Turner FOR Christmas,nan,nan,1626176,Rakeem Christmas,IND,1626167,Myles Turner,IND,0,nan,nan,Substitution ,nan
288830,21601104,4,8:38,SUB: George FOR Ellis,nan,nan,101145,Monta Ellis,IND,202331,Paul George,IND,0,nan,nan,Substitution ,nan
288831,21601104,4,8:38,nan,MISS Muhammad Free Throw 1 of 2,nan,203498,Shabazz Muhammad,MIN,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
288832,21601104,4,8:38,nan,Timberwolves Rebound,nan,1610612750,nan,nan,0,nan,nan,0,nan,nan,Rebound ,Normal Rebound
288833,21601104,4,8:38,nan,MISS Muhammad Free Throw 2 of 2,nan,203498,Shabazz Muhammad,MIN,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
288834,21601104,4,8:38,Allen REBOUND (Off:2 Def:2),nan,nan,202730,Lavoy Allen,IND,0,nan,nan,0,nan,nan,Rebound ,Unknown
288835,21601104,4,8:24,Miles 2' Cutting Finger Roll Layup Shot (6 PTS) (Teague 10 AST),nan,92 - 100,101139,CJ Miles,IND,201952,Jeff Teague,IND,0,nan,nan,Made Shot ,nan
288836,21601104,4,8:06,nan,MISS Towns 12' Hook Shot,nan,1626157,Karl-Anthony Towns,MIN,0,nan,nan,0,nan,nan,Missed Shot ,nan
288837,21601104,4,8:06,Turner REBOUND (Off:2 Def:5),nan,nan,1626167,Myles Turner,IND,0,nan,nan,0,nan,nan,Rebound ,Unknown
288838,21601104,4,7:56,MISS Teague 7' Hook Shot,nan,nan,201952,Jeff Teague,IND,0,nan,nan,0,nan,nan,Missed Shot ,nan
288839,21601104,4,7:53,nan,Dunn REBOUND (Off:0 Def:1),nan,1627739,Kris Dunn,MIN,0,nan,nan,0,nan,nan,Rebound ,Unknown
288840,21601104,4,7:45,Allen S.FOUL (P3.T4) (Z.Zarba),nan,nan,202730,Lavoy Allen,IND,1626157,Karl-Anthony Towns,MIN,0,nan,nan,Foul ,Shooting
288841,21601104,4,7:45,nan,Towns Free Throw 1 of 3 (28 PTS),93 - 100,1626157,Karl-Anthony Towns,MIN,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 3
288842,21601104,4,7:45,nan,Towns Free Throw 2 of 3 (29 PTS),94 - 100,1626157,Karl-Anthony Towns,MIN,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 3
288843,21601104,4,7:45,nan,SUB: Wiggins FOR Muhammad,nan,203498,Shabazz Muhammad,MIN,203952,Andrew Wiggins,MIN,0,nan,nan,Substitution ,nan
288844,21601104,4,7:45,nan,Towns Free Throw 3 of 3 (30 PTS),95 - 100,1626157,Karl-Anthony Towns,MIN,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 3 of 3
288845,21601104,4,7:28,nan,Jones S.FOUL (P2.T4) (Z.Zarba),nan,1626145,Tyus Jones,MIN,201952,Jeff Teague,IND,0,nan,nan,Foul ,Shooting
288846,21601104,4,7:28,Teague Free Throw 1 of 2 (19 PTS),nan,95 - 101,201952,Jeff Teague,IND,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
288847,21601104,4,7:28,nan,SUB: Rubio FOR Jones,nan,1626145,Tyus Jones,MIN,201937,Ricky Rubio,MIN,0,nan,nan,Substitution ,nan
288848,21601104,4,7:28,Teague Free Throw 2 of 2 (20 PTS),nan,95 - 102,201952,Jeff Teague,IND,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
288849,21601104,4,7:18,nan,MISS Towns 28' 3PT Jump Shot,nan,1626157,Karl-Anthony Towns,MIN,0,nan,nan,0,nan,nan,Missed Shot ,nan
288850,21601104,4,7:17,Allen REBOUND (Off:2 Def:3),nan,nan,202730,Lavoy Allen,IND,0,nan,nan,0,nan,nan,Rebound ,Unknown
288851,21601104,4,7:10,MISS Miles 1' Driving Layup,Dunn BLOCK (2 BLK),nan,101139,CJ Miles,IND,0,nan,nan,1627739,Kris Dunn,MIN,Missed Shot ,nan
288852,21601104,4,7:08,Turner REBOUND (Off:3 Def:5),nan,nan,1626167,Myles Turner,IND,0,nan,nan,0,nan,nan,Rebound ,Unknown
288853,21601104,4,7:08,Turner  Putback Dunk (11 PTS),nan,95 - 104,1626167,Myles Turner,IND,0,nan,nan,0,nan,nan,Made Shot ,nan
288854,21601104,4,6:44,nan,MISS Towns 11' Jump Shot,nan,1626157,Karl-Anthony Towns,MIN,0,nan,nan,0,nan,nan,Missed Shot ,nan
288855,21601104,4,6:43,PACERS Rebound,nan,nan,1610612754,nan,nan,0,nan,nan,0,nan,nan,Rebound ,Unknown
288856,21601104,4,6:31,MISS George 25' 3PT Jump Shot,nan,nan,202331,Paul George,IND,0,nan,nan,0,nan,nan,Missed Shot ,nan
288857,21601104,4,6:30,Allen REBOUND (Off:3 Def:3),nan,nan,202730,Lavoy Allen,IND,0,nan,nan,0,nan,nan,Rebound ,Unknown
288858,21601104,4,6:20,MISS George 18' Fadeaway Jumper,nan,nan,202331,Paul George,IND,0,nan,nan,0,nan,nan,Missed Shot ,nan
288859,21601104,4,6:19,nan,Towns REBOUND (Off:2 Def:7),nan,1626157,Karl-Anthony Towns,MIN,0,nan,nan,0,nan,nan,Rebound ,Unknown
288860,21601104,4,5:57,Teague S.FOUL (P2.PN) (N.Buchert),nan,nan,201952,Jeff Teague,IND,201937,Ricky Rubio,MIN,0,nan,nan,Foul ,Shooting
288861,21601104,4,5:57,PACERS Timeout: Regular (Full 4 Short 1),nan,nan,1610612754,nan,nan,0,nan,nan,0,nan,nan,Timeout ,Regular
288862,21601104,4,5:57,SUB: Ellis FOR Miles,nan,nan,101139,CJ Miles,IND,101145,Monta Ellis,IND,0,nan,nan,Substitution ,nan
288863,21601104,4,5:57,nan,Rubio Free Throw 1 of 2 (17 PTS),96 - 104,201937,Ricky Rubio,MIN,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
288864,21601104,4,5:57,nan,Rubio Free Throw 2 of 2 (18 PTS),97 - 104,201937,Ricky Rubio,MIN,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
288865,21601104,4,5:41,Turner  Cutting Dunk Shot (13 PTS) (George 2 AST),nan,97 - 106,1626167,Myles Turner,IND,202331,Paul George,IND,0,nan,nan,Made Shot ,nan
288866,21601104,4,5:22,George S.FOUL (P2.PN) (Z.Zarba),nan,nan,202331,Paul George,IND,203952,Andrew Wiggins,MIN,0,nan,nan,Foul ,Shooting
288867,21601104,4,5:22,nan,Wiggins Free Throw 1 of 2 (12 PTS),98 - 106,203952,Andrew Wiggins,MIN,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
288868,21601104,4,5:22,nan,Wiggins Free Throw 2 of 2 (13 PTS),99 - 106,203952,Andrew Wiggins,MIN,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
288869,21601104,4,5:07,MISS Turner 18' Jump Shot,nan,nan,1626167,Myles Turner,IND,0,nan,nan,0,nan,nan,Missed Shot ,nan
288870,21601104,4,5:07,nan,Dunn REBOUND (Off:0 Def:2),nan,1627739,Kris Dunn,MIN,0,nan,nan,0,nan,nan,Rebound ,Unknown
288871,21601104,4,4:52,Allen P.FOUL (P4.PN) (N.Buchert),nan,nan,202730,Lavoy Allen,IND,1626157,Karl-Anthony Towns,MIN,0,nan,nan,Foul ,Personal
288872,21601104,4,4:52,nan,Towns Free Throw 1 of 2 (31 PTS),100 - 106,1626157,Karl-Anthony Towns,MIN,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
288873,21601104,4,4:52,SUB: Young FOR Allen,nan,nan,202730,Lavoy Allen,IND,201152,Thaddeus Young,IND,0,nan,nan,Substitution ,nan
288874,21601104,4,4:52,nan,Towns Free Throw 2 of 2 (32 PTS),101 - 106,1626157,Karl-Anthony Towns,MIN,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
288875,21601104,4,4:34,George 3' Driving Finger Roll Layup (35 PTS),nan,101 - 108,202331,Paul George,IND,0,nan,nan,0,nan,nan,Made Shot ,nan
